file_name,file_path,function_name,loop_index,loop_type,start_line,end_line,has_bounds,initialization,condition,increment,estimated_iterations
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,get_vertices,0,for_loop,162,179,True,int i=0;,i<3,i++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,get_vertices,1,for_loop,183,213,True,int i=0;,i<3,i++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,get_vertices,2,for_loop,199,206,True,int j=0;,j<4,j++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,get_vertices,3,for_loop,217,246,True,int i=0;,i<3,i++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,get_vertices,4,for_loop,233,240,True,int j=0;,j<4,j++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,get_vertices,5,for_loop,250,267,True,int i=0;,i<3,i++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,get_vertices,6,for_loop,259,266,True,int j=0;,j<4,j++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,shade_fraction_1x,0,for_loop,744,748,True,int i=0;,i<3,i++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,shade_fraction_1x,1,for_loop,777,780,True,int i=0;,i<3,i++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,shade_fraction_1x,2,for_loop,800,808,True,int i=0;,i<3,i++,unknown
SystemReports.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/SystemReports.cc,ReportSystemEnergyUse,10,for_loop,3269,3342,True,Idx = 1,Idx <= 2,++Idx,unknown
HeatBalanceSurfaceManager.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/HeatBalanceSurfaceManager.cc,UpdateThermalHistories,3,for_loop,4197,4207,True,SideNum = 1,SideNum <= 2,++SideNum,unknown
HeatBalanceSurfaceManager.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/HeatBalanceSurfaceManager.cc,UpdateThermalHistories,6,for_loop,4262,4276,True,SideNum = 1,SideNum <= 2,++SideNum,unknown
HeatBalanceSurfaceManager.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/HeatBalanceSurfaceManager.cc,CalcExteriorVentedCavity,0,for_loop,6494,6498,True,iter = 1,iter <= 3,++iter,unknown
SolarShading.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/SolarShading.cc,AnisoSkyViewFactors,0,for_loop,1513,1516,True,EpsilonBin = 1,EpsilonBin <= 8,++EpsilonBin,unknown
SolarShading.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/SolarShading.cc,CalcPerSolarBeam,1,for_loop,3677,3681,True,iHour = 1,iHour <= 24,++iHour,unknown
SolarShading.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/SolarShading.cc,CalcPerSolarBeam,3,for_loop,3688,3692,True,iHour = 1,iHour <= 24,++iHour,unknown
SolarShading.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/SolarShading.cc,CalcPerSolarBeam,5,for_loop,3698,3706,True,iHour = 1,iHour <= 24,++iHour,unknown
SolarShading.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/SolarShading.cc,SHDRVL,1,for_loop,7599,7602,True,N = 1,N <= 3,++N,unknown
