file_name,file_path,function_name,loop_index,loop_type,start_line,end_line,has_bounds,initialization,condition,increment,estimated_iterations
ChillerExhaustAbsorption.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/ChillerExhaustAbsorption.cc,GetExhaustAbsorberInput,1,for_loop,489,544,True,AbsorberNum = 1,AbsorberNum <= NumExhaustAbsorbers,++AbsorberNum,unknown
IceThermalStorage.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/IceThermalStorage.cc,SimDetailedIceStorage,1,while_loop,744,778,True,,IterNum < MaxIterNum,,unknown
IceThermalStorage.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/IceThermalStorage.cc,GetIceStorageInput,1,for_loop,940,956,True,IceNum = 1,IceNum <= NumIceStorages,++IceNum,unknown
IceThermalStorage.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/IceThermalStorage.cc,GetIceStorageInput,2,for_loop,965,1128,True,IceNum = 1,IceNum <= NumDetIceStorages,++IceNum,unknown
IceThermalStorage.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/IceThermalStorage.cc,GetIceStorageInput,3,for_loop,1141,1164,True,IceNum = 1,IceNum <= NumDetIceStorages,++IceNum,unknown
IceThermalStorage.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/IceThermalStorage.cc,UpdateIceFractions,1,for_loop,2349,2369,True,IceNum2 = 1,IceNum2 <= NumDetIceStorages,++IceNum2,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,get_vertices,1,for_loop,183,213,True,int i=0;,i<3,i++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,get_vertices,2,for_loop,199,206,True,int j=0;,j<4,j++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,get_vertices,3,for_loop,217,246,True,int i=0;,i<3,i++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,get_vertices,4,for_loop,233,240,True,int j=0;,j<4,j++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,get_vertices,5,for_loop,250,267,True,int i=0;,i<3,i++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,get_vertices,6,for_loop,259,266,True,int j=0;,j<4,j++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,shade_fraction_1x,1,for_loop,777,780,True,int i=0;,i<3,i++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,shade_fraction_1x,2,for_loop,800,808,True,int i=0;,i<3,i++,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,ModifiedDISC,1,while_loop,2156,2157,True,,k < 5 && dkt1 >= dktbin[k],,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,ModifiedDISC,2,while_loop,2161,2162,True,,i < 5 && kt1[1] >= ktbin[i],,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,ModifiedDISC,3,while_loop,2165,2166,True,,j < 5 && zenith[1] >= zbin[j],,unknown
PVWattsSSC.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PVWattsSSC.cc,ModifiedDISC,4,while_loop,2173,2174,True,,l < 3 && w >= wbin[l],,unknown
PlantPressureSystem.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PlantPressureSystem.cc,InitPressureDrop,1,for_loop,223,239,True,int BranchNum = 1;,BranchNum <= isize( loop_side.Branch ),++BranchNum,unknown
PlantPressureSystem.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PlantPressureSystem.cc,InitPressureDrop,2,for_loop,264,293,True,int LoopSideNum = DemandSide;,LoopSideNum <= SupplySide,++LoopSideNum,unknown
PlantPressureSystem.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PlantPressureSystem.cc,InitPressureDrop,3,for_loop,270,275,True,int BranchNum = 2;,BranchNum <= NumBranches - 1,++BranchNum,unknown
PlantPressureSystem.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PlantPressureSystem.cc,InitPressureDrop,4,for_loop,335,345,True,int LoopSideNum = DemandSide;,LoopSideNum <= SupplySide,++LoopSideNum,unknown
PlantPressureSystem.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PlantPressureSystem.cc,InitPressureDrop,5,for_loop,337,344,True,"int BranchNum = 1, BranchNum_end = isize( loop_side.Branch );",BranchNum <= BranchNum_end,++BranchNum,unknown
PlantPressureSystem.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PlantPressureSystem.cc,InitPressureDrop,6,for_loop,339,343,True,"int CompNum = 1, CompNum_end = isize( branch.Comp );",CompNum <= CompNum_end,++CompNum,unknown
PlantPressureSystem.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PlantPressureSystem.cc,UpdatePressureDrop,1,for_loop,557,562,True,BranchNum = NumBranches - 1,BranchNum >= 2,--BranchNum,unknown
PlantPressureSystem.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PlantPressureSystem.cc,UpdatePressureDrop,2,for_loop,622,656,True,LoopSideNum = DemandSide,LoopSideNum <= SupplySide,++LoopSideNum,unknown
PlantPressureSystem.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/PlantPressureSystem.cc,UpdatePressureDrop,3,for_loop,634,641,True,BranchNum = 2,BranchNum <= isize( PlantLoop( LoopNum ).LoopSide( LoopSideNum ).Branch ) - 1,++BranchNum,unknown
RuntimeLanguageProcessor.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/RuntimeLanguageProcessor.cc,BeginEnvrnInitializeRuntimeLanguage,1,for_loop,429,431,True,loop = 1,loop <= NumEMSCurveIndices,++loop,unknown
RuntimeLanguageProcessor.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/RuntimeLanguageProcessor.cc,BeginEnvrnInitializeRuntimeLanguage,2,for_loop,434,436,True,loop = 1,loop <= NumEMSConstructionIndices,++loop,unknown
RuntimeLanguageProcessor.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/RuntimeLanguageProcessor.cc,BeginEnvrnInitializeRuntimeLanguage,3,for_loop,445,458,True,ActuatorUsedLoop = 1,ActuatorUsedLoop <= numActuatorsUsed + NumExternalInterfaceActuatorsUsed,++ActuatorUsedLoop,unknown
RuntimeLanguageProcessor.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/RuntimeLanguageProcessor.cc,BeginEnvrnInitializeRuntimeLanguage,4,for_loop,461,464,True,TrendVarNum = 1,TrendVarNum <= NumErlTrendVariables,++TrendVarNum,unknown
RuntimeLanguageProcessor.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/RuntimeLanguageProcessor.cc,BeginEnvrnInitializeRuntimeLanguage,5,for_loop,467,469,True,SensorNum = 1,SensorNum <= NumSensors,++SensorNum,unknown
RuntimeLanguageProcessor.cc,/Users/aussie/projects/2025/EnergyPlus/EnergyPlus-8.9.0/src/EnergyPlus/RuntimeLanguageProcessor.cc,ParseStack,1,for_loop,716,720,True,GotoNum = 1,GotoNum <= NumGotos( NestedIfDepth ),++GotoNum,unknown
